以军无人机袭击伊朗南帕尔斯天然气田 部分区域起火,【以军无人机袭击伊朗南帕尔斯天然气田 部分区域起火】财联社6月14日电，据央视新闻报道，总台记者14日晚间自伊朗方面获悉，以军当天使用无人飞行器袭击了伊朗最大天然气田南帕尔斯天然气田的第14期项目，此次袭击导致该天然气田部分区域起火，目前消防车正在灭火。,2025-06-14 23:53

伊朗总统：能用武力击落以色列隐形军用装备,【伊朗总统：能用武力击落以色列隐形军用装备】财联社6月14日电，据央视新闻报道，当地时间14日，伊朗总统佩泽希齐扬在与巴基斯坦总理夏巴兹的电话交谈中强调，伊朗能够击落一些据称是“隐形且无人能敌”的以色列军用装备。他还警告称，如果以色列想要重复他们的侵略行为，则将会面临伊朗武装部队“更强烈、更猛烈的反击”。夏巴兹在此次通话中表达了对伊朗的支持，在谴责以色列袭击行动的同时，对已遇难的伊朗官员、科学家和平民表示了哀悼。,2025-06-14 23:52

阿曼外交大臣确认15日不举行伊美核谈判,【阿曼外交大臣确认15日不举行伊美核谈判】财联社6月14日电，据央视新闻报道，当地时间14日晚间，阿曼外交大臣巴德尔表示，原定于15日举行的伊朗和美国的第六轮核问题谈判将不再举行。他同时强调，外交与对话依然是实现持久和平的唯一途径。4月以来，美国与伊朗围绕伊朗核问题的多轮间接谈判没有取得进展。据伊朗国家电视台13日报道，伊朗方面将不出席原定15日在阿曼举行的第六轮伊核问题间接谈判。,2025-06-14 23:43

王毅同以色列外长萨尔通电话,"【王毅同以色列外长萨尔通电话】2025年6月14日，中共中央政治局委员、外交部长王毅同以色列外长萨尔通电话。

在听取萨尔介绍以方对当前局势的看法和以色列的立场后，王毅表示，中方一贯主张任何国际争端都应通过对话协商予以解决，反对使用武力和制裁手段。鉴此，中方明确反对以色列违反国际法以武力袭击伊朗，尤其是在国际社会仍在寻求政治解决伊朗核问题的情况下，这一行径更是不可接受的。以色列、伊朗都是中东重要国家，以伊关系牵动中东战和全局。当务之急是立即采取措施避免冲突升级，防止地区陷入更大动荡，回归外交手段解决问题的轨道，这也是国际社会的普遍共识。

王毅介绍了同伊朗外长阿拉格齐通话的情况，强调中东不能永远处于冲突的阴影下，以色列也不应持续生活在战争的不安中。伊朗核问题的外交手段并未穷尽，和平解决仍有希望。武力无法带来持久和平，秉持共同安全理念才能彻底解决各方合理关切。中方一贯从事情本身的是非曲直出发对待和处理地区热点问题，敦促以伊双方通过对话解决分歧，寻求和平共处之道。中方愿为此发挥建设性作用。王毅希望以方切实维护好中国机构和人员的安全，萨尔表示以方一贯重视并将继续维护中国机构和人员安全。",2025-06-14 23:06

王毅同伊朗外长阿拉格齐通电话,"【王毅同伊朗外长阿拉格齐通电话】2025年6月14日，中共中央政治局委员、外交部长王毅同伊朗外长阿拉格齐通电话。

阿拉格齐通报了地区局势的最新情况，表示以色列日前悍然袭击伊朗，造成伊方军事人员和平民伤亡，尤其是袭击伊朗核设施，严重违反国际法。以方军事行动高度危险，可能将整个地区拖入全面战争。希望国际社会发出要求以色列停止军事行动的一致声音。感谢中方对伊方立场的一贯理解和支持，相信中方将为促进地区和平稳定发挥更为重要的作用。

王毅说，以色列袭击伊朗后，中方已在第一时间公开表明立场。中方明确谴责以色列侵犯伊朗的主权、安全和领土完整，坚决反对针对伊朗官员并造成平民伤亡的粗暴攻击，支持伊朗维护国家主权、捍卫自身合法权益和人民生命安全。以色列的行为严重违反联合国宪章宗旨原则和国际关系基本准则，特别是攻击伊朗核设施开创了危险的先例，有可能造成灾难性后果。中方支持国际社会主持公道，尽快发声。我们也敦促对以色列有影响的国家为恢复和平做出切实努力。

王毅表示，当前，地区局势处在关键和紧要时刻，中方愿同伊方及有关各方保持沟通，为推动局势缓和继续发挥建设性作用。希望伊方维护好中国机构和人员安全。阿拉格齐表示，伊方愿同中方保持沟通，全力保障好中国机构和人员安全。",2025-06-14 22:37

广汽传祺联合华为 首次实现机场出发层VPD技术试点,【广汽传祺联合华为 首次实现机场出发层VPD技术试点】财联社6月14日电，今日，广汽传祺联合华为在广州白云国际机场首次实现了”出发层泊车代驾VPD（Valet Parking Driving）”技术试点，这是全球首个机场出发层就能使用VPD的技术试点。白云机场对出发层道路以及停车场道路进行了改造，在广州市相关部门指导下，经过各方努力，出发层VPD技术试点得以顺利落地，搭载华为乾崑智驾的向往M8乾崑成为首个试点车型。未来，M8乾崑的车主将能率先体验机场出发层VPD带来的便捷出行。,2025-06-14 22:22

多个以色列邻国重新开放领空,【多个以色列邻国重新开放领空】财联社6月14日电，据新华社报道，以色列邻国约旦、黎巴嫩和叙利亚因地区局势升级短暂关闭领空后，于14日重新开放领空。,2025-06-14 22:04

预防伊朗夜间袭击 以军调整空袭预警通知时间,【预防伊朗夜间袭击 以军调整空袭预警通知时间】财联社6月14日电，据央视新闻报道，当地时间14日，以色列本土守备司令部宣布，将调整其向当地居民发出的伊朗弹道导弹袭击预警时间。根据该部门的评估，当晚可能会再次发生针对以色列的导弹攻击。本土守备司令部表示，将在预计袭击发生前15分钟在其应用程序上发布警告，指示平民待在防空洞附近。一旦探测到伊朗发射导弹，该部门将发布预警，并使用小区广播系统指示居民进入防空洞，居民应待在其中直至另行通知。,2025-06-14 21:50

